uri,url,author_handle,text,created_at,like_count,repost_count,reply_count,quote_count,news_or_opinion_category,is_political,is_likely_spam,is_self_contained,is_structurally_complete,toxicity_prob,toxicity_tier,political_stance
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5h3nmvlk2n,https://bsky.app/profile/eliemar.bsky.social/post/3mu5h3nmvlk2n,eliemar.bsky.social,"ALL Democrats work for Americans #usa
 
Republicans call it Communism

Republicans support
Trump/his UNAFFORDABLE economy & OLIGARCHS who fund their campaigns

Democrats 💙
Higher Wages
FREE Health/Child care Lower Costs
Affordable Housing
Education
Climate Change
GUN CONTROL
NO to School Shootings",2026-08-28 13:16:38.719000+00:00,0,0,0,0,opinion,True,False,True,True,0.20219094,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5gvqlems2n,https://bsky.app/profile/eliemar.bsky.social/post/3mu5gvqlems2n,eliemar.bsky.social,"Forget McConnell
#usa focus

Trump/Republicans STEALING the Midterms

Michelle Obama at DNC: ""Don't complain""
""Do something""

Trump economy UNAFFORDABLE

All Democrats for:
Higher Wages
FREE Health/Child care Lower Costs
Affordable Housing
Education
Climate Change
GUN CONTROL
NO to School Shootings",2026-08-28 13:13:20.488000+00:00,1,0,0,0,opinion,True,False,True,True,0.2191003,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5gtyj5lk2n,https://bsky.app/profile/eliemar.bsky.social/post/3mu5gtyj5lk2n,eliemar.bsky.social,"Trump/Republican servants are cruel

America is still a beacon of light through its people

Lets get rid of the garbage #usa UNSEAT Republicans

Vote💙
Democrats for:
Higher Wages
FREE Health/Child care Lower Costs
Affordable Housing
Education
Science
Climate Change
GUN CONTROL
NO to School Shootings",2026-08-28 13:12:21.694000+00:00,2,1,1,0,opinion,True,False,True,True,0.4838166,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5fcjh5wc27,https://bsky.app/profile/eliemar.bsky.social/post/3mu5fcjh5wc27,eliemar.bsky.social,"Trump/Republican servants are cruel

America is still a beacon of light through its people

Lets get rid of the garbage #usa UNSEAT Republicans

Vote💙
Democrats for:
Higher Wages
FREE Health/Child care Lower Costs
Affordable Housing
Education
Science
Climate Change
GUN CONTROL
NO to School Shootings",2026-08-28 12:44:41.733000+00:00,0,0,0,0,opinion,True,False,True,True,0.4838166,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5eevzpps27,https://bsky.app/profile/eliemar.bsky.social/post/3mu5eevzpps27,eliemar.bsky.social,"Stop Trump/Republicans corruption

Unseat Republicans
They LIE to America

Republicans & #trump work for OLIGARCHS who got $1 TRILLION tax cuts

Trump Economy UNAFFORDABLE
Highest Fod/Gas costs

Vote💙 #usa

Democrats for
Free Health/Child care
Higher Wages
Lower costs
Affordable Housing
GUN CONTROL",2026-08-28 12:28:08.286000+00:00,0,0,0,0,opinion,True,False,True,True,0.30502358,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu5dz353gs27,https://bsky.app/profile/eliemar.bsky.social/post/3mu5dz353gs27,eliemar.bsky.social,"ALL Democrats work for Americans #usa
 
Republicans call it Communism

Republicans support
Trump/his UNAFFORDABLE economy & OLIGARCHS who fund their campaigns

Democrats 💙
Higher Wages
FREE Health/Child care Lower Costs
Affordable Housing
Education
Climate Change
GUN CONTROL
NO to School Shootings",2026-08-28 12:21:30.988000+00:00,0,0,1,0,opinion,True,False,True,True,0.20219094,medium,left
at://did:plc:uqrfc7gu5tptozetpvustimk/app.bsky.feed.post/3mu4id3ofv22p,https://bsky.app/profile/eliemar.bsky.social/post/3mu4id3ofv22p,eliemar.bsky.social,"Trump problem #usa

Trump kills in his War
Trump no foreign trade skill
Trump ICE murders
Trump $4T National Debt
Trump Inflation/High costs
Trump CORRUPTION
Trump UNAFFORDABLE life
Trump-Epstein kids raping 

Democrats💙
Higher Wages
Lower Costs
Free Health-Child Care
Affordable Housing
Gun Control",2026-08-28 04:06:02.333000+00:00,0,0,0,0,opinion,True,False,True,True,0.44933176,medium,left
at://did:plc:3fccz4macdyzaegjlkfic3in/app.bsky.feed.post/3mu5slpvmr22i,https://bsky.app/profile/billiejsweeney.bsky.social/post/3mu5slpvmr22i,billiejsweeney.bsky.social,"In MO, the right wing is bundling a measure to codify transphobic bigotry with its effort to undo the voters' will on abortion. 

Voters adopted protections to reproductive rights two years ago. Now, extremists believe that injecting anti-trans bias will lift an anti-women measure in Nov.",2026-08-28 16:42:29.133000+00:00,2,1,0,0,opinion,True,False,True,True,0.27750343,medium,left
at://did:plc:dnpgdzw3hqcwqnoxgjy4mgxr/app.bsky.feed.post/3mu5s5qp3b22e,https://bsky.app/profile/oku.mow.haus/post/3mu5s5qp3b22e,oku.mow.haus,"The fight for Bodily Autonomy is the same whether you’re some gold star transsexual transmedicalist, a person seeking an Abortion, a species-dysphoric non-binary therian, a low-key semi-closeted cis gay white man, a couple using contraceptives, swingers in an orgy club, a Polycule, etc etc etc",2026-08-28 16:34:40.204000+00:00,10,0,1,0,opinion,True,False,True,True,0.42568782,medium,left
at://did:plc:6h32tbiuz6ptigvkkrx2jkrz/app.bsky.feed.post/3mu5rwzjeic2q,https://bsky.app/profile/neeva1.bsky.social/post/3mu5rwzjeic2q,neeva1.bsky.social,"GOP119thCongress, anything?GOPSCOTUS, magaGOP, noncritical thinkers, nonDEMS, Rogan, McConnell, 35% nonvoters, EM,thieves,traitors, misogynoire, greedy2%, anti LGBTQIA+/abortion/POC/women/woke, EpsteinClass, rapists, pedos,traffickers, 2016/20/22/24 GOPvoters OWN this!🇺🇸👀😢",2026-08-28 16:30:54.571000+00:00,0,0,0,0,opinion,True,False,True,True,0.5716857,medium,left
at://did:plc:5t37h44eimeaaqdcwankeeie/app.bsky.feed.post/3mu5rtny7im2b,https://bsky.app/profile/ansirh.bsky.social/post/3mu5rtny7im2b,ansirh.bsky.social,"Telehealth abortion care is just as safe and effective as in-person care – and it’s changed the abortion care landscape. 

Now, 1 in 4 abortions are provided via telehealth.",2026-08-28 16:29:01.616000+00:00,1,0,0,0,opinion,True,False,True,True,0.025556687,low,left
at://did:plc:epp2najemrxyduwxz2ihvj3i/app.bsky.feed.post/3mu5rmrm2e224,https://bsky.app/profile/lordmimey.bsky.social/post/3mu5rmrm2e224,lordmimey.bsky.social,"It's just like what happened with abortion.

Anti-abortionists literally blew up abortion clinics in the name of being 'pro-life', and yet it was the pro-abortion side that was constantly chided and demeaned for 'rhetoric'.",2026-08-28 16:25:10.729000+00:00,2,0,0,0,opinion,True,False,True,True,0.09568449,low,left
at://did:plc:r5wwieq5nfgtj3qcobot3pqh/app.bsky.feed.post/3mu5recqf4k2v,https://bsky.app/profile/mrfahrenheit.bsky.social/post/3mu5recqf4k2v,mrfahrenheit.bsky.social,"That means it’s past time for Democrats to get their own abortion messaging in order—namely, by standing up from their defensive crouch and finally telling voters what they want to hear: the government has no place in pregnancy at any point",2026-08-28 16:20:26.706000+00:00,2,0,0,0,opinion,True,False,True,True,0.17891699,medium,left
at://did:plc:d7mbznttytrhbs3vy6d6nppc/app.bsky.feed.post/3mu5rdnfrrb2s,https://bsky.app/profile/reproductivefreedomforall.org/post/3mu5rdnfrrb2s,reproductivefreedomforall.org,"Reproductive freedom and voting rights are inseparable.

The people we elect shape our abortion laws and reproductive health care, and they appoint the judges who shape our freedoms.

Our ability to control our bodies depends on our ability to make our vote count.",2026-08-28 16:20:04.231191+00:00,1,1,0,0,opinion,True,False,True,True,0.022964042,low,left
at://did:plc:rvmarerfcqaoaciketvjacwj/app.bsky.feed.post/3mu5r3dds422s,https://bsky.app/profile/httorg.bsky.social/post/3mu5r3dds422s,httorg.bsky.social,"Why haven’t we laughed the stupid MAGA “abortion up to the moment of birth” off the table by now?
Especially from elected officials?

Or is everyone from the Graham family just congenitally stupid?",2026-08-28 16:15:25.353000+00:00,1,0,1,0,opinion,True,False,True,True,0.8299589,high,left
at://did:plc:z2f7uooesggy7kyc3rujoyp6/app.bsky.feed.post/3mu5smnath22m,https://bsky.app/profile/bigcountryfooty.bsky.social/post/3mu5smnath22m,bigcountryfooty.bsky.social,Canada can be the counterbalance to the USA.  We have to expedite our growth.  Open the doors for immigration.  Build infrastructure fast.,2026-08-28 16:42:59.909000+00:00,0,0,0,0,opinion,True,False,True,True,0.040925518,low,left
at://did:plc:ja6qwdwar2df3253srtdsmsa/app.bsky.feed.post/3mu5skublp22n,https://bsky.app/profile/sdicaclu.bsky.social/post/3mu5skublp22n,sdicaclu.bsky.social,"With immigrant's rights constantly under attack, it's more important than ever to KNOW YOUR RIGHTS, both for yourself and to spread that knowledge within your community.   

Join ACLU immigration rights experts at our next EmpowerEd training!",2026-08-28 16:42:00.163000+00:00,0,0,1,0,opinion,True,False,True,True,0.04735767,low,left
at://did:plc:l4xudk3un3f5zukzmnfpkdrw/app.bsky.feed.post/3mu5sgeyf522g,https://bsky.app/profile/danrhan.bsky.social/post/3mu5sgeyf522g,danrhan.bsky.social,"Trump has repeatedly failed his base on the issues they voted for. The economy is in the toilet, he started a new foreign war he can't end, and he hasn't even delivered on immigration. The only people left he can please are the flag-wavers who care about America's name above all else. Thus the lake.",2026-08-28 16:39:29.916000+00:00,0,0,0,0,opinion,True,False,True,True,0.25462922,medium,left
at://did:plc:skl2s4plzkuiz4qoozt3xdyo/app.bsky.feed.post/3mu5saockq226,https://bsky.app/profile/veronicamcdonald.bsky.social/post/3mu5saockq226,veronicamcdonald.bsky.social,"What Homeland Insecurity is doing now is making Black people the face of ""illegal immigration"".

They know once a Black face is attached to the issue everyone in the country will race to support getting rid of them (The Blacks).

That's why Trump & Vance spread that cats & dogs lie in 2024.",2026-08-28 16:36:18.360000+00:00,0,1,1,0,opinion,True,False,True,True,0.4977744,medium,left
at://did:plc:grgswyytu7slprcbhfireuz2/app.bsky.feed.post/3mu5s66nx2s2u,https://bsky.app/profile/expatspost.bsky.social/post/3mu5s66nx2s2u,expatspost.bsky.social,"The MAGA fascist immigration agenda is exactly what Hannah Arendt referred to as ""the banality of evil"".",2026-08-28 16:34:54.848000+00:00,0,0,0,0,opinion,True,False,True,True,0.3286776,medium,left
